2016-09-24 11:25:50, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[116]------ 后台返回结果为> 
2016-09-24 11:25:50, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[121]------ 请求失败，报错信息>SSL read: error:00000000:lib(0):func(0):reason(0), errno 54 
2016-09-24 13:38:13, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/cert_util.php ], Line[85]------ 读取加密证书…… 
2016-09-24 13:38:13, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/cert_util.php ], Line[105]------ 加密证书读取成功，序列号：68759585097 
2016-09-24 13:38:13, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/cert_util.php ], Line[37]------ 读取签名证书…… 
2016-09-24 13:38:13, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/cert_util.php ], Line[62]------ 签名证书读取成功，序列号：40220995861346480087409489142384722381 
2016-09-24 13:38:13, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[22]------ =====签名报文开始====== 
2016-09-24 13:38:13, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[28]------ 签名key=val&...串 >accNo=OBEFzQR2/rIcgvIS1mzcYzOusa5UcdBEgJkIqbi8HxKPAHMG28fx4/tShRV/CbzUaljBdidGrkIzSUe2wDJMH8w2A1o3TjUJncgN4uqb64dUPnpsW4YGFVPHjUf+iqEkmO5xTTXQ3E4CfKhXaLmkeeuE4Qsw7x/4bMPtH/g2PVZZ2IekmHp6GbZofvgyX6AzZf/0H2AG4F/q+R3heeZDZ6gl/wNX2hSceRKHUDzxregKBnyBZfNsyKDU6Na2Phs/XYRIFFvD0caTKI6Y4zR34OOyW019hb2j82egP6oubenknKkgQWRZIOfDok/RSNgamHDzX8A39C8rTuyX2ZRIlw==&accessType=0&backUrl=http://222.222.222.222/upacp_demo_dk/demo/api_09_dk/BackReceive.php&bizType=000501&certId=40220995861346480087409489142384722381&channelType=07&currencyCode=156&customerInfo=e2NlcnRpZlRwPTAxJmNlcnRpZklkPTM0MTEyNjE5NzcwOTIxODM2NiZjdXN0b21lck5tPeWFqOa4oOmBkyZlbmNyeXB0ZWRJbmZvPVBtMUdkK0RER2ovRmhzQ1dIVHc5b3QwUENoRDNWaG1HbzlPZFZtTDZzOURnZnVuRHRhbEc5SlpTYVVyenJWRjFKamxEWnBhbGZFZGJkR0RidEFHenp6aG1xajg5eThPbDI4U05ueVQ1NllSbHdaU1owQ21vUmhNMmNFWTFSdjlXaDRaS3E2UmNhYld0c0UwVlVEK0djZTJNTEYrNVNJQTVVTFZIa1NhcWhZL25VUXdHSTF1ZFYyN2JBelB3WHVUZW9tTzhjeWhyVS9Ma1NvTEpuNGZLSFI1RXNhQ0tIeldZRmI4Z0IwRkhSdFc1Q1VuNUhTWnM0MnBYVTJKQWY0akVUOG5oYTFJMGxZR3A3WDJQRm03eGdMMk9aV1N4aWZPeUMrRXc0V3FIeXdQMzNUTW9PbjFnL2w3L1dEWlQ0bjR1UDdaTmlramg2TFpTNkRpWTJmb3BWQT09fQ==&encoding=utf-8&encryptCertId=68759585097&merId=777290058138272&orderId=1234567890123&signMethod=01&txnAmt=1000&txnSubType=00&txnTime=20160924105000&txnType=11&version=5.0.0 
2016-09-24 13:38:13, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[31]------ 摘要sha1x16 >faf623ba52ba49cdc6c26f161c7b9ae32de66614 
2016-09-24 13:38:13, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[39]------ 签名串为 >FfsjWeYSdNGbWXmNpR28AegE/wkH4uEQlcCH07hLLDhej6MLtIpPtcLo5QVr8/Lg7Hv0pZbRSII7Ol5/z4z5cK3D0/ATcYJfJP9JAC/FxH58+w4QOVDXC3NZhHCxiZIIoBS2LB2CgrEtvS6jeuvr58zUZZ51MlKDsCyb7wcp63Q= 
