2016-11-22 17:57:29, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/cert_util.php ], Line[85]------ 读取加密证书…… 
2016-11-22 17:57:29, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/cert_util.php ], Line[105]------ 加密证书读取成功，序列号：68759585097 
2016-11-22 17:57:29, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/cert_util.php ], Line[37]------ 读取签名证书…… 
2016-11-22 17:57:29, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/cert_util.php ], Line[62]------ 签名证书读取成功，序列号：40220995861346480087409489142384722381 
2016-11-22 17:57:29, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[22]------ =====签名报文开始====== 
2016-11-22 17:57:29, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[28]------ 签名key=val&...串 >accNo=Hs1j5WW/a8vmsfnO0l0UVDF9htf4kbdIkS0QZaJFf0tM/Ul+eMutQIH8wlvm+BC0yuUHG+4yX34iCd/5meaVn03BNCserWPklAJGhTD/zKnE/j5vqoi6f1tCsRMYF+g6MkzalD1L+FEJXR+WlUjMVMpd/WJiHLZBvA289h3nV+ERRS8nv7cBBFbpI4SY3MQ4gKPXdpm2jXIh3++MpwqVBtedZpCXUg4wFLpFNRHrOgjK1gHAIaYpxL0CSQFuY97rOLZfOPEs9B19a87QV8j3Liy0QkdaWaUA9m7mlHTWXAlbMCdL94b4B9qIh+EEVTEBOXmiNealfz7rONHLY+IJTA==&accessType=0&backUrl=http://jiedai.giftgo.cn/api/respond/unionpayNotify&bizType=000501&certId=40220995861346480087409489142384722381&channelType=07&currencyCode=156&customerInfo=e2NlcnRpZlRwPTAxJmNlcnRpZklkPTM0MTEyNjE5NzcwOTIxODM2NiZjdXN0b21lck5tPeS6kuiBlOe9kSZlbmNyeXB0ZWRJbmZvPXFOKzNBb0l2dzdseUlvU3R2STNzSzRnQWxsejJGL2FacDZCaisrODVVN1hRVzlFeDNHV24xaitiSEtWQURpeDJtR200RnlhamxISGtGYjdmMW05LzRRZStGT1JqRWpieGU4RmdYZ2dwZU81RzFMZVh5c3dKK0hWUFZRUmJjMmc1ZStEditTSWNsWkFIYW44Umt1QnNwTGFlOVJYd0pnb0kwdlRIQzJvaUhjNFU3NHlWdGh5RkVaZXJEdmxYM1U1b2l1aW1lUWdneGVtQ2dNSmFaK1JPb3ZsS052OWJkM2l2ZlBlc1NEY0w2LzA1NUV3NVY4Y0hnSnVQWW1mWllqdnBJK0w0NDBmZk9OU3E4a29BV2grUXdmcHdZY3lsdlhFZ204SFhyUG9JNU1DYkdwWUs2d0lRblRYN2xNTkY3MnBGWUxVQkQ1VE9OdmdqZVl4citBdFFRdz09fQ==&encoding=utf-8&encryptCertId=68759585097&merId=777290058138272&orderId=222222222222&signMethod=01&txnAmt=190&txnSubType=00&txnTime=20161122175729&txnType=11&version=5.0.0 
2016-11-22 17:57:29, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[31]------ 摘要sha1x16 >52863aaf606dd484b0626d98e1d56ab10042e18a 
2016-11-22 17:57:29, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[39]------ 签名串为 >Ne1COupRguG/l8ska6EBKmGCURjjCgnqvKIIwP/eMx+/5VwnCq/jU1Pebl/k8/hsxg1GruGPCFTjcIzepmRnHA+N6m3GR+MIOx0LKmlXAAHGY+5O31T/04dtu5FT4Ykd26Nib17vpTX01NPdgmMyqz8/92ywa/gQ8ApzYJXL7hY= 
2016-11-22 17:57:29, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[44]------ =====签名报文结束====== 
2016-11-22 17:57:29, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[101]------ 后台请求地址为>https://101.231.204.80:5000/gateway/api/backTransReq.do 
2016-11-22 17:57:29, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[102]------ 后台请求报文为>version=5.0.0&encoding=utf-8&signMethod=01&txnType=11&txnSubType=00&bizType=000501&accessType=0&channelType=07&currencyCode=156&backUrl=http%3A%2F%2Fjiedai.giftgo.cn%2Fapi%2Frespond%2FunionpayNotify&encryptCertId=68759585097&merId=777290058138272&orderId=222222222222&txnTime=20161122175729&txnAmt=190&accNo=Hs1j5WW%2Fa8vmsfnO0l0UVDF9htf4kbdIkS0QZaJFf0tM%2FUl%2BeMutQIH8wlvm%2BBC0yuUHG%2B4yX34iCd%2F5meaVn03BNCserWPklAJGhTD%2FzKnE%2Fj5vqoi6f1tCsRMYF%2Bg6MkzalD1L%2BFEJXR%2BWlUjMVMpd%2FWJiHLZBvA289h3nV%2BERRS8nv7cBBFbpI4SY3MQ4gKPXdpm2jXIh3%2B%2BMpwqVBtedZpCXUg4wFLpFNRHrOgjK1gHAIaYpxL0CSQFuY97rOLZfOPEs9B19a87QV8j3Liy0QkdaWaUA9m7mlHTWXAlbMCdL94b4B9qIh%2BEEVTEBOXmiNealfz7rONHLY%2BIJTA%3D%3D&customerInfo=e2NlcnRpZlRwPTAxJmNlcnRpZklkPTM0MTEyNjE5NzcwOTIxODM2NiZjdXN0b21lck5tPeS6kuiBlOe9kSZlbmNyeXB0ZWRJbmZvPXFOKzNBb0l2dzdseUlvU3R2STNzSzRnQWxsejJGL2FacDZCaisrODVVN1hRVzlFeDNHV24xaitiSEtWQURpeDJtR200RnlhamxISGtGYjdmMW05LzRRZStGT1JqRWpieGU4RmdYZ2dwZU81RzFMZVh5c3dKK0hWUFZRUmJjMmc1ZStEditTSWNsWkFIYW44Umt1QnNwTGFlOVJYd0pnb0kwdlRIQzJvaUhjNFU3NHlWdGh5RkVaZXJEdmxYM1U1b2l1aW1lUWdneGVtQ2dNSmFaK1JPb3ZsS052OWJkM2l2ZlBlc1NEY0w2LzA1NUV3NVY4Y0hnSnVQWW1mWllqdnBJK0w0NDBmZk9OU3E4a29BV2grUXdmcHdZY3lsdlhFZ204SFhyUG9JNU1DYkdwWUs2d0lRblRYN2xNTkY3MnBGWUxVQkQ1VE9OdmdqZVl4citBdFFRdz09fQ%3D%3D&certId=40220995861346480087409489142384722381&signature=Ne1COupRguG%2Fl8ska6EBKmGCURjjCgnqvKIIwP%2FeMx%2B%2F5VwnCq%2FjU1Pebl%2Fk8%2Fhsxg1GruGPCFTjcIzepmRnHA%2BN6m3GR%2BMIOx0LKmlXAAHGY%2B5O31T%2F04dtu5FT4Ykd26Nib17vpTX01NPdgmMyqz8%2F92ywa%2FgQ8ApzYJXL7hY%3D 
